,Country,happiness2020,Productivity_per_person_per_hour
0,Finland,7.809,$33.72
1,Denmark,7.646,$44.83
2,Switzerland,7.56,$47.01
3,Iceland,7.504,$40.78
4,Netherlands,7.449,$42.51
5,Norway,7.488,$49.67
6,Sweden,7.353,$38.64
7,Luxembourg,7.238,$84.77
8,New Zealand,7.3,$25.19
9,Austria,7.294,$41.89
10,Australia,7.223,$31.02
11,Israel,7.129,$23.53
12,Germany,7.076,$41.97
13,Canada,7.232,$30.72
14,Ireland,7.129,$49.95
15,Costa Rica,7.121,$11.01
16,United Kingdom,7.165,$35.43
17,Czech Republic,6.911,$25.22
18,United States,6.94,$36.94
19,Belgium,6.864,$36.93
20,France,6.664,$35.22
21,Malta,6.773,$25.22
22,Spain,6.401,$26.75
23,Italy,6.387,$28.76
24,Slovenia,6.363,$27.20
25,Mexico,6.465,$9.63
26,Lithuania,6.215,$24.30
27,Cyprus,6.159,$24.45
28,Estonia,6.022,$23.47
29,Chile,6.228,$14.38
30,Poland,6.186,$19.34
31,Romania,6.124,$18.02
32,Latvia,5.95,$20.32
33,Hungary,6.0,$20.45
34,Japan,5.871,$26.49
35,Portugal,5.911,$22.79
36,Croatia,5.505,$16.49
37,Greece,5.515,$17.86
38,Bulgaria,5.102,$15.31
